pair_index,mol_a_idx,mol_b_idx,input_line_a,input_line_b,input_smiles_a,input_smiles_b,smiles_a,smiles_b,atoms_a,bonds_a,atoms_b,bonds_b,nvmolkit_time_ms,rdkit_time_ms,nvmolkit_atoms,nvmolkit_bonds,rdkit_atoms,rdkit_bonds,rdkit_completed,nvmolkit_canceled,nvmolkit_overflowed,nvmolkit_used_gpu,nvmolkit_used_fallback
0,654,114,5240309,5937853,CC1=C(NC(=O)CC2CCN(C(=O)OC(C)(C)C)C2)C=CC=C1S(N)(=O)=O,CCN1N=CC(C)=C1C(=O)NCC(C)CN(C)C(=O)C1=CSC(C(C)=O)=N1,Cc1c(NC(=O)CC2CCN(C(=O)OC(C)(C)C)C2)cccc1S(N)(=O)=O,CCn1ncc(C)c1C(=O)NCC(C)CN(C)C(=O)c1csc(C(C)=O)n1,27,28,27,28,36.957291,5.576051,12,11,12,11,1,0,0,1,0
1,25,759,7637054,8626595,C=C1CC2CC1CN2C1=NC(N2CCOC(C3=CC=C(C)S3)C2)=NC(NC)=N1,CC1=CC(C(=O)N(CC2=C3C=CN(C)C3=CC=C2)C[C@@H]2CCCC[C@H]2O)=CC=N1,C=C1CC2CC1CN2c1nc(NC)nc(N2CCOC(c3ccc(C)s3)C2)n1,Cc1cc(C(=O)N(Cc2cccc3c2ccn3C)C[C@@H]2CCCC[C@H]2O)ccn1,28,32,29,32,46.802723,3.370679,11,10,11,10,1,0,0,1,0
2,281,250,7360629,970568,CCC1=NC(C)=C(C(=O)N2CCN(C(=O)C=CC3=CSC=C3)CC23CCC3)O1,CC1=CC=C(F)C=C1NC(=O)CC(C1=CC=CC=C1)C(C)C,CCc1nc(C)c(C(=O)N2CCN(C(=O)C=Cc3ccsc3)CC23CCC3)o1,Cc1ccc(F)cc1NC(=O)CC(c1ccccc1)C(C)C,28,31,22,23,47.173111,2.487237,11,10,11,10,1,0,0,1,0
3,228,142,4759077,3301945,CON=CC(=O)N1CCC(OCCNC(=O)[C@H]2CCC[C@H]2C(=O)OC)C1,CC1=C(C(=O)N2CC(C)(C)C[C@H]2C(=O)NCC(C)OCCO)N=CO1,CON=CC(=O)N1CCC(OCCNC(=O)[C@H]2CCC[C@H]2C(=O)OC)C1,Cc1ocnc1C(=O)N1CC(C)(C)C[C@H]1C(=O)NCC(C)OCCO,26,27,25,26,27.384075,3.697939,12,11,12,11,1,0,0,1,0
4,754,104,9496029,6937058,CC1=NC(NC[C@]23CCC[C@H]2CN(C(=O)[C@@H](CCC(N)=O)N(C)C)C3)=C2C=NNC2=N1,CC1=CN=C(O)C(NC(=O)C2CCN(C(=O)C(F)C3(O)CCCC3)CCO2)=C1,Cc1nc(NC[C@]23CCC[C@H]2CN(C(=O)[C@@H](CCC(N)=O)N(C)C)C3)c2cn[nH]c2n1,Cc1cnc(O)c(NC(=O)C2CCN(C(=O)C(F)C3(O)CCCC3)CCO2)c1,31,34,28,30,77.457542,3.823375,16,15,16,15,1,0,0,1,0
5,692,758,2627573,9782512,NC1=CC=C(C(=O)N2C[C@@H]3CN(C(=O)C4=NSC=C4)C[C@@H]3C2)C=N1,CCCN1CCCCC1C(=O)N1CC2(CN(C(=O)C3=CC(N(C)C)=CC=N3)CC2CO)C1,Nc1ccc(C(=O)N2C[C@@H]3CN(C(=O)c4ccsn4)C[C@@H]3C2)cn1,CCCN1CCCCC1C(=O)N1CC2(CN(C(=O)c3cc(N(C)C)ccn3)CC2CO)C1,24,27,32,35,304.417267,5.707219,20,20,20,20,1,0,0,1,0
6,913,558,9854679,2672686,CCC(C)(CC1=CN(C2CCCCNC2=O)N=N1)C(=O)N1CCC(C)=C(C2=CC=CO2)C1,O=C1CC(C(=O)NC/C=C\CNC(=O)[C@H]2C[C@@H]2C2CCCO2)=NN1,CCC(C)(Cc1cn(C2CCCCNC2=O)nn1)C(=O)N1CCC(C)=C(c2ccco2)C1,O=C1CC(C(=O)NC/C=C\CNC(=O)[C@H]2C[C@@H]2C2CCCO2)=NN1,32,35,24,26,44.389797,2.047961,12,11,12,11,1,0,0,1,0
7,89,604,164641,2155819,CCOCC[C@@H](C)NCC1=CNC(C(=O)OC)=C1,CCOC1=CC=C(S(=O)(=O)N2CC(C(=O)OC)CC2(C)C)C=C1Cl,CCOCC[C@@H](C)NCc1c[nH]c(C(=O)OC)c1,CCOc1ccc(S(=O)(=O)N2CC(C(=O)OC)CC2(C)C)cc1Cl,18,18,24,25,8.206499,1.536560,9,8,9,8,1,0,0,1,0
8,432,32,4727751,2646999,CN(C[C@@H]1C[C@H](F)CN1C(=O)[C@H]1CCCN1C)C(=O)CCCC(F)(F)F,NC(=O)C[C@@H](O)C(=O)NC1COCCN(C(=O)C2=CC=CC=C2)C1,CN(C[C@@H]1C[C@H](F)CN1C(=O)[C@H]1CCCN1C)C(=O)CCCC(F)(F)F,NC(=O)C[C@@H](O)C(=O)NC1COCCN(C(=O)c2ccccc2)C1,26,27,24,25,73.842278,3.927172,17,16,17,16,1,0,0,1,0
9,30,95,9383559,9309198,CC(C)(C)OC(=O)NC1(C2CCC(C(=O)O)N(CC3=CC(C#N)=CC=C3Br)C2)CCC1,COC1=CC=C(CC2CCN(C(=O)C3=CC=C(N4C=NC5=CC=CC=C54)C=C3)C2)C=C1,CC(C)(C)OC(=O)NC1(C2CCC(C(=O)O)N(Cc3cc(C#N)ccc3Br)C2)CCC1,COc1ccc(CC2CCN(C(=O)c3ccc(-n4cnc5ccccc54)cc3)C2)cc1,31,33,31,35,300.491364,7.146929,19,18,19,18,1,0,0,1,0
