pair_index,nvmolkit_time_ms,rdkit_time_ms,time_ratio_nv_over_rdkit,input_line_a,input_line_b,input_smiles_a,input_smiles_b,pair_min_atoms,pair_avg_atoms,pair_max_atoms,pair_max_rings,pair_max_ring_atoms,pair_max_aromatic_rings,pair_max_aliphatic_rings,pair_max_longest_acyclic_carbon_chain,mcs_atoms,mcs_bonds
851,13987.898438,284.914956,49.09499534310161,10051291,9397592,C[C@@]12CCC[C@H]1N(C(=O)C1=CC3=C(C=N1)NC=C3)CCN(C(=O)C1=CN=C3CCCCN13)C2,CON1CCC(C(=O)N2CC(N3CCN(C(=O)C45CCCCC4CCC5)CC3)C2)CC1,31.0,32.0,33.0,6.0,28.0,3.0,5.0,1.0,21,20
835,1904.845337,30.657013,62.13408126225474,6002839,9827247,CC1=CN=C(C(=O)N2CC3CC(C2)CN(C(=O)C(CCO)N(C)C)C3)C=N1,CC(C)C1=NC=CC(N2CC34CCCC3(CN(C(=O)C3=C5C(=CC=C3)N=NN5C)C4)C2)=N1,27.0,29.5,32.0,6.0,26.0,3.0,3.0,4.0,20,20
754,1497.304688,23.741707,63.06642938521648,10162931,9700358,CC(C)(C)OC(=O)N[C@H](C(=O)NC(CC1=CC=CC=C1)CN1CCOCC1)C1=CC=C(F)C=C1,COC1=CC=C(C[C@H](NC(=O)OC(C)(C)C)C(=O)NCC2=CC=NC3=CC=CC=C23)C=C1,32.0,33.0,34.0,3.0,18.0,3.0,1.0,3.0,26,26
362,1409.270142,33.011528,42.690242693400926,8626595,9496029,CC1=CC(C(=O)N(CC2=C3C=CN(C)C3=CC=C2)C[C@@H]2CCCC[C@H]2O)=CC=N1,CC1=NC(NC[C@]23CCC[C@H]2CN(C(=O)[C@@H](CCC(N)=O)N(C)C)C3)=C2C=NNC2=N1,29.0,30.0,31.0,4.0,21.0,3.0,2.0,5.0,18,17
56,1184.666138,23.415452,50.5933491268928,3100926,6746942,O=C(NCCC1=COC=C1)NC12CC(CN(CC3=CC=CC=C3)C1)C2,CC(C)[C@@H](NC(=O)NCC1=NN(C)C2=C1COCC2)C1=NN=C2C=CC=CN21,25.0,26.5,28.0,5.0,18.0,3.0,3.0,3.0,21,20
747,1129.463379,34.444389,32.79092507636004,7258588,3285629,CCC(CC(=O)NCC1CN(C(=O)C2=NC=CN=C2OC)CC12CCC2)OC,CC=CCCC(=O)N1C[C@H]2C[C@@]2(C(=O)N2CC(C)(C)OCC2(C)C)C1,25.0,26.5,28.0,3.0,14.0,1.0,3.0,5.0,17,16
497,1076.015381,18.154048,59.27137468183405,5626801,9410350,COC1=CC=C(NC(=O)CC2(C)CCN2C(=O)[C@@H]2C[C@H]3CC[C@@H]2C3)C(O)=C1,CCC1=CNC(=O)C(C(=O)N2CCN(C(=O)C3=CC(Cl)=CC=N3)CC3CCCCC32)=C1,27.0,29.0,31.0,4.0,23.0,2.0,3.0,2.0,23,22
348,906.373474,13.98929,64.79052718186556,5133091,6419974,COC1=C(C)C=CC=C1CN(CCCCCF)CC1=C(F)C=NC=C1F,CCC1=CC(C)=CC(CN(C[C@@H]2CC=CCC2)C(=O)C2(O)CC(F)(F)C2)=C1,26.0,26.5,27.0,3.0,16.0,2.0,2.0,5.0,20,20
843,863.216919,15.418968,55.98409173687889,5500785,3282808,CCN(C(=O)CC1CC(NC(=O)C2=C(C)OC(CO)=C2)C1)C(C)C1CCC1,CCO[C@@H]1CCC[C@H]1NC(=O)C1CCCN1C(=O)C12CCC(CC1)C2,25.0,26.0,27.0,4.0,17.0,1.0,4.0,2.0,21,20
638,764.549072,15.813389,48.34821125313492,8676093,9656200,CCOC1CCC(CN(CC2=CC3=NC=CN3C=C2)CC2=NN(C)C(C)=N2)CC1,COC1=C(C)C=CC=C1CN(CC1=CC=C(N2C=CN=C2)C=C1)CC1OCCC12CC2,29.0,30.0,31.0,5.0,24.0,3.0,2.0,2.0,16,16
95,744.692017,32.809482,22.69746340402448,9402527,7879141,C=CCC1(NC(=O)CCC(=O)NCCC)CCN(C(=O)C2=CC=C3C=CC=NC3=C2)C1,COC1=CC=CC(N(CCC#N)C(=O)C2=C(C)N(C3=CC=CC=C3C)C(C)=C2)=C1,29.0,30.0,31.0,3.0,17.0,3.0,1.0,4.0,19,18
943,732.206482,25.520238,28.69120899264341,7637054,8570018,C=C1CC2CC1CN2C1=NC(N2CCOC(C3=CC=C(C)S3)C2)=NC(NC)=N1,C1=NC=NC(N2CC(NC3=NC(N4CCCN(C5CCCC5)CC4)=NC=N3)C2)=C1,28.0,28.5,29.0,5.0,28.0,2.0,3.0,1.0,16,16
994,718.052124,21.179462,33.90322775904317,9628048,10058109,CC1=CN(CCN(CC2=CC=C(C)C3=C2CCC3)C(=O)C2=CC=CC(C#N)=C2O)N=C1,COC(=O)C1=CC=CC=C1CN1C=C([C@@H]2CCCN2C(=O)C2=CN=C(C)C(C(C)=O)=C2)N=N1,31.0,32.0,33.0,4.0,22.0,3.0,1.0,2.0,17,16
976,704.719421,29.549008,23.849173583086106,6878309,5024803,C[C@@H]1CN(C(=O)C23CCC(CC2)CO3)C[C@H]1C(=O)N[C@H](C)C1=CC=CC=C1O,CC(C)OCCN(CC1=CC=C2CCCOC2=C1)C(=O)C1=CN(C)C=C1,26.0,27.0,28.0,5.0,19.0,2.0,4.0,3.0,18,17
755,664.764954,19.70815,33.73045942922091,10048139,2108996,O=C(NCC1CN(C(=O)CCC(=O)C2CC2)CCC12CCOCC2)C1=NC=CC=C1C1CC1,CC(C)[C@@H](C(=O)N1CCC2=CC=C(F)C=C2C1)C1=CC=C(Cl)C=C1,24.0,28.5,33.0,5.0,23.0,2.0,4.0,4.0,18,17
709,655.495239,14.516199,45.15612103416328,2845154,6114384,CC(C)CNC(=O)C(C(C)C(C)(C)C)N1CCC2=CC(Br)=CC=C21,CC1CC(C(=O)N2CCN(C(=O)C3=C(F)C=NC(O)=C3)CC2C(C)(C)C)C1,24.0,25.5,27.0,3.0,16.0,1.0,2.0,5.0,18,17
125,630.613342,13.479726,46.782356110205804,6878309,8215244,C[C@@H]1CN(C(=O)C23CCC(CC2)CO3)C[C@H]1C(=O)N[C@H](C)C1=CC=CC=C1O,O=C(N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)C1=CC=C(CO)C=N1)C1CCC2=C1NN=C2,28.0,28.5,29.0,5.0,22.0,2.0,4.0,2.0,24,23
272,614.5047,30.335243,20.25712139507173,9671636,7127848,CC(C)(C)CNC(=O)C(C1=CN=C2C(F)=CC=CC2=C1)N1CCN(CCN=[N+]=[N-])CC1,CC1(C)CCC2(CCCN2C(=O)C2(N3C=C(C4(CCO)CC4)N=N3)CC2)CC1,28.0,29.5,31.0,5.0,21.0,2.0,4.0,3.0,17,16
358,605.90741,15.871943,38.17474709933119,10338086,2975870,CC1=CC=C(F)C(N2C=C(CC3(C(=O)O)CCN(C(=O)[C@@H](CCC4=CC=CC=C4)N(C)C)C3)N=N2)=C1,CC1=CC2=C(C=C1CNC(=O)C1=C(F)C(C(F)(F)F)=NC=C1)N=CN2,25.0,30.5,36.0,4.0,22.0,3.0,1.0,4.0,17,16
336,598.342896,18.603755,32.16247988645303,7929346,8269833,COC1=CC=C2C=C(CNCC3N(C(=O)OC(C)(C)C)CCC34CCC4)NC2=C1,CC(C)C1=CC(C(=O)NC2CN(C(=O)[C@H]3C[C@H]4C=C[C@@H]3O4)C3(CCCC3)C2)=NO1,29.0,29.0,29.0,5.0,21.0,2.0,4.0,3.0,18,17
352,592.593994,12.276007,48.272536338566766,3959197,2339736,CCC(C)OC1=CC=CC(NC(=O)C2=C3C=CC=CC3=NC(OC)=C2)=C1,CN1C=C(CNCC2=CC3=CC(Br)=CC=C3OC2)C2=CC=CC=C21,24.0,25.0,26.0,4.0,19.0,3.0,1.0,4.0,20,20
703,539.662109,21.866489,24.679870142847346,10117466,5085485,CCC1=CC=CC=C1N1N=NN=C1C(C1=CC=C2C=CN=CC2=C1)N1CC(O)CC(C)(C)C1,CCC1=CN=C(C(=O)N(CCC2(CO)CCC2)C[C@@H]2COC[C@H]2C)N=C1,26.0,29.5,33.0,5.0,27.0,4.0,2.0,2.0,17,16
712,534.164734,22.576753,23.659944988546403,10231444,2214787,CCCCN1N=NN=C1C1(NC2=C(C)N(C3=CC=CC(Cl)=C3)N=C2)CCN(C2CCCC2)CC1,CC(C)C(=O)CN1CCC(CN2C(=O)C3=CC=CC=C3C2=O)CC1,24.0,29.0,34.0,5.0,27.0,3.0,2.0,4.0,17,16
338,530.164429,17.536716,30.231682431305842,9428881,7929346,CC1=CC(C(=O)N2[C@H](CNC(=O)C3=CC=C(N=[N+]=[N-])C=C3)C[C@@H]3CCC[C@@H]32)=NN=C1C,COC1=CC=C2C=C(CNCC3N(C(=O)OC(C)(C)C)CCC34CCC4)NC2=C1,29.0,30.0,31.0,4.0,20.0,2.0,2.0,3.0,20,19
58,518.041443,13.228298,39.16160967949164,7018083,9410350,C=CCC1(C(=O)N2CCCC2CCC)CCN(C(=O)C2=COC(N(C)C)=N2)C1,CCC1=CNC(=O)C(C(=O)N2CCN(C(=O)C3=CC(Cl)=CC=N3)CC3CCCCC32)=C1,28.0,29.5,31.0,4.0,23.0,2.0,2.0,3.0,21,20
823,516.689453,14.541553,35.531930667927966,2083033,5919239,COCC1CCCCC1NC(=O)C1=CC=C(OC)C2=CN=CC=C12,CC1=CC(C(=O)NC2(CNC(=O)CCOC3CC3)CCOCC2)=CC=C1F,24.0,25.5,27.0,3.0,16.0,2.0,2.0,3.0,16,16
12,506.287048,33.365072,15.17416320875915,6857256,5611587,CC(=O)N[C@@H](C(=O)N1CCC(C(=O)NC2CCN3N=NN=C3C2)CC1)C(C)C,CCC1=C(C(=O)N2CC3(C(=O)NCCC4=CSC=C4)CC2CCO3)N=CO1,27.0,27.5,28.0,4.0,18.0,2.0,2.0,4.0,18,17
646,480.781219,17.773523,27.050417579002204,8922616,7431360,CCOC1=CC=C(C(=O)N2[C@@H]3CC[C@H]2C[C@@H](NC(=O)C2=CC(OCC)=NO2)C3)C=N1,CCN1C(C)=CC(C(=O)N2CCC(N3C=C(CCC4CCOC4)N=N3)C2)=C1C,28.0,29.0,30.0,4.0,20.0,2.0,2.0,2.0,18,17
827,464.660156,8.738941,53.17122017416069,10046622,7283187,C#CC1=CC=C(CCC(=O)N2CCC3(CCCCN(C(=O)C4=C(C5CC5)C=CO4)C3)C2)C=C1,CC1=CC=CN=C1C(=O)N[C@@H]1COC[C@H]1CNC(=O)C1CC2CCC(C1)N2C,28.0,30.5,33.0,5.0,25.0,2.0,3.0,3.0,23,22
